"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"6275";"Fasn";"FASN";7;1,03415664796617;NA;NA;"up";NA;NA
"607";"Aldh1a1";"ALDH1A1";8;-1,03406278766063;NA;NA;"down";NA;NA
"8922";"Hoxd4";"HOXD4";NA;-1,03405171171191;NA;NA;"down";NA;NA
"9033";"Hspa5";"HSPA5";2;1,03388414508239;NA;NA;"up";NA;NA
"21371";"Sema4d";"SEMA4D";2;1,03298998780208;NA;NA;"up";NA;NA
"13076";"Lmo2";"LMO2";NA;1,03277455618024;NA;NA;"up";NA;NA
"13168";"Lrrc15";"LRRC15";NA;-1,03197124267111;NA;NA;"down";NA;NA
"2872";"Cdk20";"CDK20";NA;-1,03161675852189;NA;NA;"down";NA;NA
"7430";"Gpr65";"GPR65";1;1,03135905863185;NA;NA;"up";NA;NA
"478";"Agtrap";"AGTRAP";NA;1,03069597807591;NA;NA;"up";NA;NA
"22130";"Slc7a1";"SLC7A1";NA;1,03035870688908;NA;NA;"up";NA;NA
"2383";"Cbfa2t3";"CBFA2T3";NA;1,02999658945005;NA;NA;"up";NA;NA
"7463";"Gpx2";"GPX2";2;1,02951046818803;NA;NA;"up";NA;NA
"23356";"Sytl2";"SYTL2";NA;-1,02927920932848;NA;NA;"down";NA;NA
"25682";"Usp18";"USP18";2;1,02884186918076;NA;NA;"up";NA;NA
"3055";"Cep19";"CEP19";NA;1,02734944703479;NA;NA;"up";NA;NA
"11541";"Itln1";"ITLN1";2;1,02684627913311;NA;NA;"up";NA;NA
"12002";"Egfbp2";"KLK1";NA;-1,02667200399161;NA;NA;"down";NA;NA
"3561";"Cmtm7";"CMTM7";NA;1,02614664014999;NA;NA;"up";NA;NA
"628";"Aldoc";"ALDOC";NA;-1,02555204346388;NA;NA;"down";NA;NA
"24097";"Tmem171";"TMEM171";NA;-1,02526914047871;NA;NA;"down";NA;NA
"6980";"Gbp2";"GBP2";1;1,02487894651544;NA;NA;"up";NA;NA
"1304";"Asphd2";"ASPHD2";NA;1,02290665878876;NA;NA;"up";NA;NA
"5741";"Enpp6";"ENPP6";NA;-1,02265502784975;NA;NA;"down";NA;NA
"23732";"Tex11";"TEX11";NA;-1,02247492274321;NA;NA;"down";NA;NA
"5673";"Elovl6";"ELOVL6";NA;1,02217763686505;NA;NA;"up";NA;NA
"24152";"Tmem225";"TMEM225";NA;-1,02145611597708;NA;NA;"down";NA;NA
"24204";"Tmem37";"TMEM37";NA;-1,0208094194519;NA;NA;"down";NA;NA
"8892";"Hoxa5";"HOXA5";NA;-1,02053337857745;NA;NA;"down";NA;NA
"1865";"Btbd3";"BTBD3";NA;-1,01894386998289;NA;NA;"down";NA;NA
"17192";"P3h1";"P3H1";NA;1,01838988245216;NA;NA;"up";NA;NA
"11567";"Iyd";"IYD";8;-1,01822288747571;NA;NA;"down";NA;NA
"17938";"Plce1";"PLCE1";7;-1,01765141751701;NA;NA;"down";NA;NA
"23339";"Syt10";"SYT10";NA;-1,01713133820968;NA;NA;"down";NA;NA
"21709";"Sipa1";"SIPA1";NA;1,01686800882588;NA;NA;"up";NA;NA
"3643";"Cobl";"COBL";8;-1,01622570528382;NA;NA;"down";NA;NA
"24357";"Tnfsf8";"TNFSF8";1;1,01609135431147;NA;NA;"up";NA;NA
"17936";"Plcd3";"PLCD3";NA;-1,01524579569356;NA;NA;"down";NA;NA
"26424";"Zmynd15";"ZMYND15";NA;1,01105612882967;NA;NA;"up";NA;NA
"17802";"Pik3ap1";"PIK3AP1";NA;1,01102700088041;NA;NA;"up";NA;NA
"23271";"Susd3";"SUSD3";1;1,01092123110393;NA;NA;"up";NA;NA
"20082";"Rab40b";"RAB40B";NA;-1,0105336973285;NA;NA;"down";NA;NA
"8668";"H2-Eb1";"HLA-DRB1";1;1,01042599053543;NA;NA;"up";NA;NA
"2459";"Ccdc167";"CCDC167";NA;1,00905682583569;NA;NA;"up";NA;NA
"19698";"Prss48";"PRSS48";NA;-1,00746791713325;NA;NA;"down";NA;NA
"2766";"Cd8b1";"CD8B";1;1,00647015382143;NA;NA;"up";NA;NA
"13243";"Lrrk2";"LRRK2";NA;1,00624518789188;NA;NA;"up";NA;NA
"23817";"Tgif2";"TGIF2";NA;1,00613304477091;NA;NA;"up";NA;NA
"20503";"Rgs11";"RGS11";NA;-1,0045490259062;NA;NA;"down";NA;NA
"9133";"Ifi203";"IFI16";1;1,00413383733031;NA;NA;"up";NA;NA
"27553";"Zfp469";"ZNF469";NA;1,00359468093493;NA;NA;"up";NA;NA
