"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Tnfrsf8";0,230028228666226;2,3139865715459;3,20176690421708;4,21557992385883;4,38946456777062;5,29376704936946;2,99688732053754;235,09214042879;6,26852795365059e-48;8,93524025833662e-46;0;1
"Cd52";0,735476237674416;2,27721684169484;2,93847262987391;3,28106111751998;3,37581722745538;4,07913339243164;4,41673993544076;232,654130246415;2,07776050932744e-47;2,9347422757655e-45;0;1
"Trgc2";0;6,34248779318845;7,69069750822173;9,04746760285581;9,85127101488891;10,9491507350546;1,30154545908406;230,31940335352;6,54470671925092e-47;9,16082056729744e-45;0;1
"Gzmb";1,27795082426975;4,70381542798779;5,0295901101391;5,83956834804078;5,60379767034065;6,80632199014094;2,68766856238025;230,045822715902;7,48641828093018e-47;1,03854000741797e-44;0;1
"Wfdc18";0,803436456533003;1,25895170667005;0,700450976294631;2,03619043330959;2,44091709940291;3,83511357489226;4,23703846737548;228,595970201403;1,52637725626167e-46;2,09870118854315e-44;0;2
"Ripk3";0,212073723621532;1,13187214557137;1,06487625968059;2,01406672008062;1,75167136635537;3,28127877639769;5,27622038154295;227,85340870913;2,19839509975331e-46;2,99618111095327e-44;0;2
"Rac2";-0,0708456349884727;2,20409346733461;3,12570212144345;2,87754635941256;3,38448196913124;3,96151079749325;3,98432771145036;226,754997849286;3,77104953148099e-46;5,0948518757061e-44;0;1
"Usp18";0,00124999580258378;1,89848250772144;1,47135323940791;2,66765092385034;3,13039436603788;4,12661951099108;3,68154221586006;225,031835107685;8,79174562774305e-46;1,17756337774348e-43;0;2
"Coro1a";0,45333869768334;1,9160453474644;2,89341007906036;2,67803478899931;3,03031870498843;3,73279102006749;4,62644722168232;223,511354649856;1,85526954213278e-45;2,46370280992453e-43;0;1
"Gm4070";1,08382354354209;2,24832648754519;2,16987410455841;2,44818915940455;3,0282361115602;3,65966373765812;5,46020077835169;222,018963755787;3,86107979373005e-45;5,08386413179524e-43;0;1
"Cd274";0,433539211631121;1,87988844242678;1,81168513990624;1,77599988010014;2,40516727031067;3,66086119222868;4,80569660717308;221,704682039521;4,50541563057629e-45;5,88240694556839e-43;0;1
"Capg";0,462764306748237;0,737147216166292;0,730716786063602;2,28898302624605;2,0935972014926;2,9463225029797;6,38358104484089;221,648739514955;4,63090003010182e-45;5,99585781397433e-43;0;2
"Dlk1";-0,949276428078205;-0,742682296443334;-0,37338695319115;2,62104838185921;2,65661161465292;5,05780346388535;1,78645119984135;220,783520608901;7,08237291079977e-45;9,09411800951207e-43;0;2
"Upp1";-0,0826672619800909;2,34788078562639;2,22692741462874;2,25295792092795;2,31338508610793;3,3863149641274;8,41922409201151;220,280767597017;9,06542205615901e-45;1,1545037908733e-42;0;1
